Date;Open;High;Low;Close;Adj Close;Volume
2.3.2010;4,4475;4,493333;4,409167;4,43;4,151391;44275200
3.3.2010;4,471667;4,525;4,414166;4,441667;4,162324;53859600
4.3.2010;4,463333;4,496666;4,4075;4,478333;4,196685;36088800
5.3.2010;4,570833;4,680833;4,531667;4,6675;4,373954;40521600
8.3.2010;4,678333;4,705833;4,651667;4,673333;4,37942;27522000
9.3.2010;4,6275;4,765833;4,626667;4,699167;4,403629;43633200
10.3.2010;4,711667;4,801667;4,6975;4,765;4,465322;48385200
11.3.2010;4,74;4,8275;4,69;4,818333;4,515301;38838000
12.3.2010;4,889167;4,895;4,788333;4,830833;4,527016;48924000
15.3.2010;4,804167;4,84;4,721667;4,821667;4,518425;45910800
16.3.2010;4,870833;4,961667;4,8325;4,950833;4,639468;46935600
17.3.2010;4,999166;5,09;4,99;5,043334;4,726151;37910400
18.3.2010;5,045833;5,065;4,9725;5,014167;4,698819;39668400
19.3.2010;4,930833;5,070833;4,886667;4,930833;4,620727;44769600
22.3.2010;4,853333;5,055833;4,845833;5,025;4,708971;43524000
23.3.2010;4,9375;5,029167;4,8875;5,02;4,815369;47023200
24.3.2010;4,959167;5,008333;4,918334;4,940834;4,73943;52588800
25.3.2010;5,0425;5,098333;4,895833;4,91;4,709853;56316000
26.3.2010;4,9375;5,0075;4,841667;4,915;4,714649;63303600
29.3.2010;4,980834;5,025;4,954167;4,998333;4,794585;34329600
30.3.2010;5,0175;5,066667;4,9475;5,010833;4,806576;38167200
31.3.2010;4,951667;5,0325;4,914166;4,96;4,757814;41473200
1.4.2010;5,055833;5,1175;4,975833;5,068333;4,861732;49788000
5.4.2010;5,128334;5,210834;5,085834;5,205;4,992827;27745200
6.4.2010;5,161667;5,2725;5,1425;5,245;5,031198;35377200
7.4.2010;5,215833;5,2475;5,083333;5,154167;4,944067;63921600
8.4.2010;5,0975;5,225833;5,049167;5,2025;4,990429;44210400
9.4.2010;5,2375;5,31;5,204167;5,3;5,083956;35521200
12.4.2010;5,324167;5,370833;5,305833;5,336667;5,119128;32072400
13.4.2010;5,320833;5,370833;5,235;5,345;5,127121;31603200
14.4.2010;5,406667;5,528333;5,380833;5,525;5,299784;30331200
15.4.2010;5,5;5,5775;5,494167;5,545833;5,319767;29269200
16.4.2010;5,491667;5,515833;5,200833;5,286667;5,071166;90853200
19.4.2010;5,238333;5,3425;5,155;5,33;5,112733;56596800
20.4.2010;5,431667;5,4875;5,3775;5,475833;5,252621;36062400
21.4.2010;5,486667;5,525;5,368333;5,460834;5,238233;44731200
22.4.2010;5,34;5,535833;5,25;5,5125;5,287793;59278800
23.4.2010;5,508333;5,636667;5,465833;5,623333;5,394109;49657200
26.4.2010;5,64;5,675;5,550833;5,5675;5,340551;42423600
27.4.2010;5,475;5,5625;5,145;5,171667;4,960853;90979200
28.4.2010;5,258333;5,323333;5,145833;5,280833;5,06557;89214000
29.4.2010;5,383333;5,516667;5,375;5,48;5,256618;42943200
30.4.2010;5,4875;5,504167;5,201667;5,21;4,997624;66883200
3.5.2010;5,275833;5,445833;5,255;5,406667;5,186274;40921200
4.5.2010;5,220833;5,225833;4,940834;5,021667;4,816967;67262400
5.5.2010;4,880833;5,051667;4,808333;4,915833;4,715449;65911200
6.5.2010;4,845833;4,9425;3,466667;4,421667;4,241426;129265200
7.5.2010;4,375;4,5225;4,0225;4,2025;4,031193;100494000
10.5.2010;4,7375;4,8225;4,631667;4,768333;4,573961;79014000
11.5.2010;4,638333;4,921667;4,610833;4,739167;4,545984;72963600
12.5.2010;4,801667;4,965833;4,775;4,945833;4,744226;45466800
13.5.2010;4,915;4,985;4,7525;4,7725;4,577958;50678400
14.5.2010;4,658333;4,6875;4,379167;4,506667;4,322961;85371600
17.5.2010;4,5425;4,586667;4,25;4,515;4,330955;70009200
18.5.2010;4,625834;4,666667;4,280833;4,331666;4,155094;87229200
19.5.2010;4,255;4,3725;4,083333;4,2475;4,074359;104214000
20.5.2010;3,984167;4,028333;3,753333;3,760833;3,60753;162824400
21.5.2010;3,586667;3,955833;3,56;3,911667;3,752215;135914400
24.5.2010;3,87;3,9575;3,765833;3,775;3,621119;76162800
25.5.2010;3,5;3,789167;3,4225;3,781667;3,627514;80966400
26.5.2010;3,865;3,97;3,6925;3,726667;3,574756;85789200
27.5.2010;3,9425;4,113333;3,898333;4,1;3,932871;58806000
28.5.2010;4,088333;4,095;3,893333;3,965;3,803374;73153200
1.6.2010;3,839167;4,013333;3,7275;3,738333;3,585947;72601200
2.6.2010;3,803333;4,035;3,75;4,031667;3,867324;53204400
3.6.2010;4,0825;4,12;3,964167;4,085834;3,919282;49161600
4.6.2010;3,854167;3,9375;3,616667;3,669167;3,5196;79070400
7.6.2010;3,695;3,735833;3,501667;3,509167;3,366122;57530400
8.6.2010;3,518333;3,6275;3,416667;3,608333;3,461246;94893600
9.6.2010;3,675833;3,788333;3,518333;3,556667;3,411686;72370800
10.6.2010;3,741667;3,883333;3,725;3,875833;3,717842;56421600
11.6.2010;3,770833;3,943333;3,759167;3,93;3,769801;41620800
14.6.2010;4,0325;4,098333;3,911667;3,921667;3,761807;47994000
15.6.2010;4,005833;4,2025;3,986667;4,185833;4,015206;42567600
16.6.2010;4,128334;4,235833;4,0975;4,179167;4,008811;50440800
17.6.2010;4,223333;4,225;4,0725;4,190834;4,020002;63685200
18.6.2010;4,213333;4,2475;4,1625;4,2025;4,031193;36188400
21.6.2010;4,359167;4,37;4,091667;4,153333;3,984031;56272800
22.6.2010;4,155833;4,2125;3,928333;3,944167;3,787722;62646000
23.6.2010;3,954167;3,995833;3,823333;3,905;3,750109;60920400
24.6.2010;3,854167;3,866667;3,684167;3,709167;3,562043;64449600
25.6.2010;3,736667;3,814167;3,644167;3,76;3,61086;73022400
28.6.2010;3,774167;3,804167;3,679167;3,714167;3,566845;38508000
29.6.2010;3,565;3,568333;3,301667;3,368333;3,234729;91196400
30.6.2010;3,3425;3,440833;3,243333;3,258333;3,129092;69840000
1.7.2010;3,269167;3,299167;3,069167;3,229167;3,101082;100200000
2.7.2010;3,259167;3,29;3,12;3,176667;3,050665;71796000
6.7.2010;3,31;3,378333;3,135833;3,223333;3,09548;65976000
7.7.2010;3,246667;3,543333;3,24;3,533333;3,393184;54277200
8.7.2010;3,625;3,666667;3,5175;3,634167;3,490018;55112400
9.7.2010;3,636667;3,725;3,616667;3,720833;3,573247;47355600
12.7.2010;3,689167;3,759167;3,636667;3,723333;3,575648;40822800
13.7.2010;3,841667;3,946667;3,823333;3,901667;3,746907;53217600
14.7.2010;3,869167;3,945;3,818333;3,896667;3,742106;37082400
15.7.2010;3,894167;3,938333;3,738333;3,905;3,750109;60340800
16.7.2010;3,838333;3,845833;3,554167;3,575;3,433198;60516000
19.7.2010;3,615;3,670833;3,526667;3,641667;3,497221;38925600
20.7.2010;3,491667;3,776667;3,483333;3,766667;3,617262;49574400
21.7.2010;3,826667;3,830833;3,574167;3,618333;3,474813;62870400
22.7.2010;3,749167;3,905833;3,7475;3,86;3,706894;40190400
23.7.2010;3,835;3,981667;3,804167;3,97;3,812531;42493200
26.7.2010;3,9875;4,110833;3,955;4,100833;3,938174;37852800
27.7.2010;4,166667;4,179167;4,04;4,084167;3,922169;39218400
28.7.2010;4,06;4,0975;3,959167;4,0025;3,843742;37102800
29.7.2010;4,078333;4,104167;3,8425;3,941667;3,785321;51758400
30.7.2010;3,8175;4,004167;3,7975;3,95;3,793324;37359600
2.8.2010;4,134167;4,244167;4,083333;4,2025;4,035809;36231600
3.8.2010;4,175833;4,209167;4,101666;4,143333;3,978989;31233600
4.8.2010;4,18;4,248333;4,141667;4,2325;4,064619;31260000
5.8.2010;4,155;4,225833;4,134167;4,220833;4,053414;25328400
6.8.2010;4,093333;4,194167;4,008333;4,168334;4,002997;38065200
9.8.2010;4,234167;4,259167;4,163333;4,239167;4,071021;20134800
10.8.2010;4,1325;4,2275;4,0525;4,155833;3,990993;42063600
11.8.2010;3,963333;3,963333;3,794167;3,81;3,658877;47680800
12.8.2010;3,638333;3,784167;3,633333;3,745833;3,597255;37207200
13.8.2010;3,705;3,776667;3,698333;3,704167;3,557241;34147200
16.8.2010;3,633333;3,7425;3,595833;3,705833;3,558842;35426400
17.8.2010;3,804167;3,928333;3,7725;3,845833;3,693289;44095200
18.8.2010;3,843333;3,934167;3,776667;3,873333;3,719698;41824800
19.8.2010;3,811667;3,843333;3,6275;3,674167;3,528432;55251600
20.8.2010;3,638333;3,655833;3,556667;3,639167;3,49482;42684000
23.8.2010;3,691667;3,745833;3,589167;3,594167;3,451605;46245600
24.8.2010;3,47;3,518333;3,3725;3,435833;3,299551;53014800
25.8.2010;3,370833;3,510833;3,304167;3,471667;3,333964;51841200
26.8.2010;3,525;3,538333;3,370833;3,404167;3,269141;48879600
27.8.2010;3,465;3,576667;3,314167;3,565;3,423595;61564800
30.8.2010;3,536667;3,573333;3,41;3,410833;3,275543;47550000
31.8.2010;3,369167;3,475;3,329167;3,4275;3,291548;49580400
1.9.2010;3,550833;3,728333;3,543333;3,714167;3,566845;45638400
2.9.2010;3,738333;3,826667;3,718333;3,8225;3,670881;31700400
3.9.2010;3,940833;3,989167;3,878333;3,971667;3,814131;37790400
7.9.2010;3,914167;3,9325;3,828333;3,841667;3,689287;33942000
8.9.2010;3,859167;3,9625;3,855;3,915;3,759712;32110800
9.9.2010;4,048333;4,054167;3,935;3,965833;3,808529;25590000
10.9.2010;3,9875;4,04;3,964167;4,026667;3,866949;25532400
13.9.2010;4,143333;4,186666;4,104167;4,165833;4,000596;37706400
14.9.2010;4,14;4,23;4,094167;4,16;3,994994;37848000
15.9.2010;4,123333;4,221667;4,085834;4,206666;4,03981;28318800
16.9.2010;4,165;4,211667;4,131667;4,203333;4,036609;27724800
17.9.2010;4,2675;4,2775;4,1725;4,208333;4,04141;29958000
20.9.2010;4,255;4,429167;4,224167;4,401667;4,227075;24872400
21.9.2010;4,418334;4,4725;4,324167;4,375834;4,202267;50521200
22.9.2010;4,345833;4,416667;4,261667;4,299167;4,136676;29373600
23.9.2010;4,186666;4,33;4,1625;4,195833;4,037249;34352400
24.9.2010;4,336667;4,463333;4,326667;4,446667;4,278602;25610400
27.9.2010;4,465;4,4775;4,385833;4,4;4,233699;22155600
28.9.2010;4,419167;4,486667;4,2725;4,455;4,28662;49814400
29.9.2010;4,415833;4,479167;4,375834;4,425;4,257754;36463200
30.9.2010;4,501667;4,580833;4,331666;4,395833;4,22969;49293600
1.10.2010;4,4875;4,505833;4,37;4,445833;4,2778;38605200
4.10.2010;4,429167;4,4725;4,279167;4,345833;4,181579;28527600
5.10.2010;4,466667;4,635833;4,4475;4,605;4,430951;31062000
6.10.2010;4,604167;4,636667;4,540833;4,595833;4,42213;23876400
7.10.2010;4,656667;4,659167;4,4975;4,580833;4,407698;26488800
8.10.2010;4,594167;4,7;4,549167;4,661667;4,485476;27525600
11.10.2010;4,685833;4,715;4,634167;4,68;4,503116;16532400
12.10.2010;4,634167;4,7625;4,553333;4,726666;4,548018;29330400
13.10.2010;4,808333;4,9075;4,77;4,828333;4,645843;19452000
14.10.2010;4,821667;4,844167;4,688334;4,783333;4,602544;29485200
15.10.2010;4,876667;4,8825;4,695;4,804167;4,62259;27841200
18.10.2010;4,809166;4,911667;4,781667;4,834167;4,651455;15804000
19.10.2010;4,730834;4,8125;4,585834;4,670833;4,494296;37636800
20.10.2010;4,705;4,876667;4,6875;4,809166;4,6274;25963200
21.10.2010;4,876667;4,9575;4,726666;4,840833;4,65787;37836000
22.10.2010;4,859167;4,890833;4,825833;4,875834;4,691547;15234000
25.10.2010;4,965833;5,049167;4,9125;4,924167;4,738054;22051200
26.10.2010;4,849167;4,945;4,815;4,9225;4,736451;16182000
27.10.2010;4,818333;4,903333;4,7525;4,89;4,705179;23532000
28.10.2010;4,973333;4,981667;4,823333;4,895;4,70999;20245200
29.10.2010;4,8725;4,934166;4,8575;4,913333;4,72763;17666400
1.11.2010;4,980834;5,065;4,830833;4,913333;4,72763;21316800
2.11.2010;5,023334;5,065;4,979167;5,03;4,839888;15842400
3.11.2010;5,059166;5,0975;4,9025;5,094167;4,901629;25878000
4.11.2010;5,245;5,385833;5,24;5,3675;5,164631;22269600
5.11.2010;5,3925;5,468333;5,370833;5,443333;5,237598;23643600
8.11.2010;5,393333;5,436666;5,339167;5,419167;5,214345;12212400
9.11.2010;5,4625;5,48;5,231667;5,2925;5,092466;22017600
10.11.2010;5,284167;5,37;5,175;5,363333;5,160622;14200800
11.11.2010;5,229167;5,338333;5,184166;5,32;5,118927;15766800
12.11.2010;5,21;5,274167;5,046667;5,113333;4,920071;22506000
15.11.2010;5,1625;5,229167;5,093333;5,093333;4,900827;20818800
16.11.2010;5,004167;5,028333;4,784167;4,854167;4,6707;36133200
17.11.2010;4,87;4,931667;4,825;4,875;4,690746;19288800
18.11.2010;5,013333;5,138333;5,013333;5,09;4,89762;24543600
19.11.2010;5,079167;5,14;5;5,133333;4,939315;13808400
22.11.2010;5,066667;5,1375;4,955;5,133333;4,939315;21766800
23.11.2010;4,9575;4,9825;4,855834;4,9075;4,722017;29283600
24.11.2010;5,006667;5,1425;5,003334;5,139167;4,944928;14347200
26.11.2010;5,014167;5,091667;4,979167;4,979167;4,790975;6696000
29.11.2010;4,93;5,044167;4,829167;5,006667;4,817436;23293200
30.11.2010;4,860833;5,0025;4,835834;4,9125;4,726828;19250400
1.12.2010;5,1225;5,255833;5,1225;5,224167;5,026716;22958400
2.12.2010;5,246666;5,4375;5,245;5,428333;5,223166;21811200
3.12.2010;5,375;5,4975;5,365;5,478333;5,271276;15642000
6.12.2010;5,451667;5,5;5,426667;5,463333;5,256842;10306800
7.12.2010;5,6275;5,634167;5,461667;5,470833;5,264059;17996400
8.12.2010;5,491667;5,545;5,411667;5,515833;5,307358;14798400
9.12.2010;5,605834;5,615833;5,5;5,575833;5,36509;9627600
10.12.2010;5,625;5,691667;5,573333;5,675;5,460509;9651600
13.12.2010;5,759167;5,766667;5,675833;5,681667;5,466924;9380400
