Date;Open;High;Low;Close;Adj Close;Volume
2021-01-27;2.350000;2.550000;2.030000;2.240000;2.240000;37433400
2021-01-28;2.260000;2.280000;1.910000;2.020000;2.020000;19972500
2021-01-29;2.060000;2.190000;1.990000;1.990000;1.990000;9902000
2021-02-01;2.060000;2.200000;2.040000;2.180000;2.180000;10051800
2021-02-02;2.250000;2.380000;2.150000;2.230000;2.230000;9522200
2021-02-03;2.250000;2.340000;2.210000;2.240000;2.240000;7701300
2021-02-04;2.280000;2.650000;2.240000;2.400000;2.400000;44624000
2021-02-05;3.420000;3.450000;2.939000;3.100000;3.100000;82905500
2021-02-08;3.250000;3.790000;3.200000;3.790000;3.790000;37681300
2021-02-09;3.610000;3.620000;3.250000;3.480000;3.480000;17296000
